landmark_number	layer	side	lobe	on_midline	landmark_definition
1	bone	medial	anterior	1	"epiplastra, external contact between each other"
2	bone	medial	posterior	1	"xiphiplastra, external contact between each other"
3	bone	right	anterior	1	"epiplastron, medial contact with entoplastron"
4	bone	right	anterior	1	"entoplastron, medial contact with hyoplastron"
5	bone	right	anterior	1	"hyoplastron, medial contact with hypoplastron"
6	bone	right	posterior	1	"hyoplastron, medial contact with hypoplastron"
7	bone	right	posterior	1	"hypoplastron, medial contact with xiphiplastron"
8	bone	right	anterior	0	"entoplastron, contact with epiplastron and hyoplastron"
9	bone	right	anterior	0	"epiplastron, lateral contact with hyoplastron"
10	bone	right	anterior	0	"axillary notch, inflection point"
11	bone	right	anterior	0	"hyoplastron, lateral contact with hypoplastron"
12	bone	right	posterior	0	"hyoplastron, lateral contact with hypoplastron"
13	bone	right	posterior	0	"inguinal notch, inflection point"
14	bone	right	posterior	0	"hypoplastron, lateral contact with xiphiplastron"
15	bone	right	posterior	0	"xiphiplastron, inflection point of external border"
16	bone	left	anterior	1	"epiplastron, medial contact with entoplastron"
17	bone	left	anterior	1	"entoplastron, medial contact with hyoplastron"
18	bone	left	anterior	1	"hyoplastron, medial contact with hypoplastron"
19	bone	left	posterior	1	"hyoplastron, medial contact with hypoplastron"
20	bone	left	posterior	1	"hypoplastron, medial contact with xiphiplastron"
21	bone	left	anterior	0	"entoplastron, contact with epiplastron and hyoplastron"
22	bone	left	anterior	0	"epiplastron, lateral contact with hyoplastron"
23	bone	left	anterior	0	"axillary notch, inflection point"
24	bone	left	anterior	0	"hyoplastron, lateral contact with hypoplastron"
25	bone	left	posterior	0	"hyoplastron, lateral contact with hypoplastron"
26	bone	left	posterior	0	"inguinal notch, inflection point"
27	bone	left	posterior	0	"hypoplastron, lateral contact with xiphiplastron"
28	bone	left	posterior	0	"xiphiplastron, inflection point of external border"
29	scutes	right	anterior	1	"gular, medial contact with humeral"
30	scutes	right	anterior	1	"humeral, medial contact with pectoral"
31	scutes	right	anterior	1	"pectoral, medial contact with abdominal"
32	scutes	right	posterior	1	"abdominal, medial contact with femoral"
33	scutes	right	posterior	1	"femoral, medial contact with anal"
34	scutes	right	anterior	0	"gular, lateral contact with humeral"
35	scutes	right	anterior	0	"humeral, lateral contact with pectoral"
36	scutes	right	anterior	0	"pectoral, lateral contact with abdominal"
37	scutes	right	posterior	0	"abdominal, lateral contact with femoral"
38	scutes	right	posterior	0	"femoral, lateral contact with anal"
39	scutes	left	anterior	1	"gular, medial contact with humeral"
40	scutes	left	anterior	1	"humeral, medial contact with pectoral"
41	scutes	left	anterior	1	"pectoral, medial contact with abdominal"
42	scutes	left	posterior	1	"abdominal, medial contact with femoral"
43	scutes	left	posterior	1	"femoral, medial contact with anal"
44	scutes	left	anterior	0	"gular, lateral contact with humeral"
45	scutes	left	anterior	0	"humeral, lateral contact with pectoral"
46	scutes	left	anterior	0	"pectoral, lateral contact with abdominal"
47	scutes	left	posterior	0	"abdominal, lateral contact with femoral"
48	scutes	left	posterior	0	"femoral, lateral contact with anal"
49	bone	right	NA	0	"peripheral 3, external contact with peripheral 4"
50	bone	right	NA	0	"peripheral 7, external contact with peripheral 8"
51	bone	left	NA	0	"peripheral 3, external contact with peripheral 4"
52	bone	left	NA	0	"peripheral 7, external contact with peripheral 8"
