institution,collection,series,specimen,code,label_name,name,abnormal_side,maturity,sex,collector,identified_by,datum,continent,country,state_province,county_district,city,specific_locality,collection_mode,dec_lat,dec_long,date,previous_identifications,label_comments,comments,X,X.1,X.2,X.3,species
YPM,HER,R,17221,YPMHERR17221,Leucocephalon yuwonoi,Leucocephalon yuwonoi,NA,adult,,,Walter G. Joyce,,,,,,,,captive,NA,NA,,NA,,,,,,,Leucocephalon yuwonoi
YPM,HER,R,12109,YPMHERR12109,Leucocephalon yuwonoi,Leucocephalon yuwonoi,NA,adult,f,,Walter G. Joyce,,,,,,,,,NA,NA,Nov-01,NA,,,,,,,Leucocephalon yuwonoi
YPM,HER,R,17231,YPMHERR17231,Leucocephalon yuwonoi,Leucocephalon yuwonoi,NA,adult,,,Walter G. Joyce,,,,,,,,captive,NA,NA,,NA,,,,,,,Leucocephalon yuwonoi
YPM,HER,R,10930,YPMHERR10930,Melanochelys trijuga,Melanochelys trijuga,NA,adult,,J. W. Scollick,,,Asia,India,,,,,,NA,NA,,NA,,,,,,,Melanochelys trijuga
YPM,HER,R,14678,YPMHERR14678,Notochelys platynota,Notochelys platynota,NA,adult,f,,,,,,,,,,captive,NA,NA,,NA,,,,,,,Notochelys platynota
YPM,HER,R,17205,YPMHERR17205,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,,Walter G. Joyce,,,,,,,,captive,NA,NA,,NA,,,,,,,Siebenrockiella crassicollis
YPM,HER,R,17195,YPMHERR17195,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,,Walter G. Joyce,,,,,,,,captive,NA,NA,,NA,,,,,,,Siebenrockiella crassicollis
YPM,HER,R,17252,YPMHERR17252,Geoemyda spengleri,Geoemyda spengleri,NA,adult,,,,,,,,,,,captive,NA,NA,,NA,,,,,,,Geoemyda spengleri
YPM,HER,R,17244,YPMHERR17244,Cuora galbinifrons picturata,Cuora picturata,NA,adult,,,,,,,,,,,captive,NA,NA,,NA,,,,,,,Cuora picturata
YPM,HER,R,12105,YPMHERR12105,Cuora galbinifrons,Cuora sp,NA,adult,,,,,,,,,,,captive,NA,NA,Nov-01,NA,,,,,,,Cuora sp
YPM,HER,R,17230,YPMHERR17230,Cuora galbinifrons,Cuora sp,NA,adult,,,Walter G. Joyce,,,,,,,,captive,NA,NA,,NA,,,,,,,Cuora sp
YPM,HER,R,12106,YPMHERR12106,Cuora galbinifrons,Cuora sp,NA,adult,,,,,,,,,,,captive,NA,NA,Nov-01,NA,,,,,,,Cuora sp
YPM,HER,R,12175,YPMHERR12175,Notochelys platynota,Notochelys platynota,NA,juvenile,,,,,,,,,,,captive,NA,NA,,NA,,,,,,,Notochelys platynota
YPM,HER,R,13956,YPMHERR13956,Geochelone pardalis,Stigmochelys pardalis,NA,adult,,,,,,,,,,,,NA,NA,,NA,,,,,,,Stigmochelys pardalis
YPM,HER,R,19103,YPMHERR19103,Gopherus agassizii,Gopherus agassizii,NA,adult,,,Gregory J. Watkins-Colwell,,,,,,,,,NA,NA,,NA,,,,,,,Gopherus agassizii
MCZ,Herpetology,R_,29498,MCZR29498,Siebenrockiella crassicollis,Siebenrockiella crassicollis,NA,adult,,Malcolm A. Smith,Catalog,,Asia,Thailand,Phetchabun,,,"Bangkok,Siam",,NA,NA,[no verbatim date data],NA,,,,,,,Siebenrockiella crassicollis
MCZ,Herpetology,R_,1863,MCZR1863,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,adult,,Spencer F. Baird,Catalog,WGS84,North America,United States,District of Columbia,,,"Washington, D. C.",,38.8951,-77.0364,[no verbatim date data],NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,182819,MCZR182819,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,adult,,Jos_ Rosado,Catalog,WGS84,North America,United States,New Jersey,Cape May,,Stone Harbor,,39.0508,-74.7583,1991-1991,NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,182817,MCZR182817,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,juvenile,,Jos_ Rosado,Catalog,WGS84,North America,United States,New Jersey,Cape May,,Stone Harbor,,39.0508,-74.7583,1991-1991,NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,15887,MCZR15887,Deirochelys reticularia reticularia,Deirochelys reticularia reticularia,NA,adult,,"Thomas Barbour, Robert P. Barbour",Catalog,WGS84,North America,United States,Florida,,,Colohatchee River,,26.7136,-81.5667,1919-1919,NA,,,,,,,Deirochelys reticularia
MCZ,Herpetology,R_,46258,MCZR46258,Graptemys barbouri,Graptemys barbouri,NA,adult,male ,Archie F. Carr Jr.,"Archie Fairly Carr, L. J. Marchand",WGS84,North America,United States,Florida,Calhoun,,10miles N. of Marianna to Clarksville,,30.56427,-85.18344,27/11/1941-30/11/1941,NA,,,,,,,Graptemys barbouri
MCZ,Herpetology,R_,6397,MCZR6397,Graptemys geographica,Graptemys geographica,NA,adult,,H. Garman,Catalog,NAD27,North America,United States,Illinois,Adams,,Quincy,,39.9359546,-91.3868483,1888-1888,NA,,,,,,,Graptemys geographica
MCZ,Herpetology,R_,29543,MCZR29543,Heosemys annandalii,Heosemys annandalii,NA,adult,,Malcolm A. Smith,H. Bradley Shaffer,,Asia,Thailand,Phetchabun,,,Bangkok temple,,NA,NA,[no verbatim date data],NA,,,,,,,Heosemys annandalii
MCZ,Herpetology,R_,46278,MCZR46278,Graptemys barbouri,Graptemys barbouri,NA,adult,,Archie F. Carr Jr.,"Archie Fairly Carr, L. J. Marchand",WGS84,North America,United States,Florida,Jackson,,near Marianna,,30.7751,-85.2273,27/11/1941-30/11/1941,NA,,,,,,,Graptemys barbouri
MCZ,Herpetology,R_,46253,MCZR46253,Graptemys barbouri,Graptemys barbouri,NA,adult,,Archie F. Carr Jr.,"Archie Fairly Carr, L. J. Marchand",WGS84,North America,United States,Florida,Calhoun,,10 mi N. of Marianna to Clarksville,,30.56427,-85.18344,27/11/1941-30/11/1941,NA,,incorrectly stored as 46252 in the original tps files,,,,,Graptemys barbouri
MCZ,Herpetology,R_,166446,MCZR166446,Glyptemys insculpta,Glyptemys insculpta,NA,adult,male ,[no agent data],systematic card,WGS84,North America,United States,Maine,York,,West Kennebunk,,43.4086,-70.5819,[no verbatim date data],NA,,,,,,,Glyptemys insculpta
MCZ,Herpetology,R_,182816,MCZR182816,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,adult,,Jos_ Rosado,Catalog,WGS84,North America,United States,New Jersey,Cape May,,Stone Harbor,,39.0508,-74.7583,1991-1991,NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,182840,MCZR182840,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,juvenile,,Jos_ Rosado,Catalog,WGS84,North America,United States,New Jersey,Cape May,,Stone Harbor,,39.0508,-74.7583,1991-1991,NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,1870,MCZR1870,Malaclemys terrapin terrapin,Malaclemys terrapin terrapin,NA,adult,,Spencer F. Baird,Catalog,WGS84,North America,United States,District of Columbia,,,Washington DC,,38.8951,-77.0364,[no verbatim date data],NA,,,,,,,Malaclemys terrapin
MCZ,Herpetology,R_,29550,MCZR29550,Heosemys annandalii,Heosemys annandalii,NA,adult,,Malcolm A. Smith,H. Bradley Shaffer,,Asia,Thailand,,,,"Kampong, Sumbon",,NA,NA,[no verbatim date data],NA,,,,,,,Heosemys annandalii
MCZ,Herpetology,R_,182835,MCZR182835,Pangshura smithii,Pangshura smithii,NA,adult,,[no agent data],H. Bradley Shaffer,,Asia,India,,,,Bengal,,NA,NA,[no verbatim date data],NA,,,,,,,Pangshura smithii
MCZ,Herpetology,R_,1874,MCZR1874,Glyptemys muhlenbergii,Glyptemys muhlenbergii,NA,juvenile,,[no agent data],systematic card,,North America,United States,New Jersey,,,no specific locality,,NA,NA,[no verbatim date data],NA,,,,,,,Glyptemys muhlenbergii
CRI,PCHP,,5071,PCHP5071,,Cuora mccordi,NA,adult,,,,,,,,,,,,NA,NA,,NA,,peripherals 11L 10R,,,,,Cuora mccordi
CRI,PCHP,,3926,PCHP3926,,Cuora mccordi,NA,adult,,"William McCord, O. Shiu",,,Asia,China,Guangxi,,,West of Paise,,NA,NA,1992,NA,"China: Yunnani: West of Paise (Guangxi Province). W.McCord/O. Shiu, 1992",,,,,,Cuora mccordi
CRI,PCHP,,6190,PCHP6190,,Mauremys sinensis,NA,adult,,William McCord,,,Asia,China,Hainan,,,,,NA,NA,1999,NA,Hainan W.McCord 1999,,,,,,Mauremys sinensis
CRI,PCHP,,12207,PCHP12207,,Geoemyda spengleri,NA,adult,f,T. Walsh,,,,,,,,,,NA,NA,2006,NA,T. Walsh 2006, adult female,,,,,Geoemyda spengleri
CRI,PCHP,,2958,PCHP2958,,Notochelys platynota,NA,adult,,William McCord,,,no data,no data,no data,no data,no data,,,NA,NA,1986,NA,No data. (W. McCord 1986),6 vertebrals, 4 and 5 digitised as 4,,,,Notochelys platynota
CRI,PCHP,,4710,PCHP4710,,Heosemys grandis,NA,subadult,,D. Uhrig,,,no data,no data,no data,no data,no data,,,NA,NA,1996,NA,No data. D. Uhrig, 1996. Subad.,,,,,Heosemys grandis
CRI,PCHP,,3186,PCHP3186,,Mauremys sinensis,NA,adult,,D. Uhrig,,,no data,no data,no data,no data,no data,,,NA,NA,1991,NA,"No data (Ex. D. Uhrig, 1991)",,,,,,Mauremys sinensis
CRI,PCHP,,3952,PCHP3952,,Cyclemys oldhamii,NA,adult,,William McCord,,,no data,no data,no data,no data,no data,,,NA,NA,1992,NA,"strikeover ""dentata""; Ad. No data. (W. McCord 1992)","Marginals 8, 9 L partially covered by scutes; landmark 78 interpolated from ventral side. Old specimen; plastron too damaged for digitisation.",,,,,Cyclemys oldhamii
CRI,PCHP,,11927,PCHP11927,,Cyclemys dentata,NA,adult,m,,,,no data,no data,no data,no data,no data,,,NA,NA,2006,NA,Ad. Male, no data 2006,,,,,Cyclemys dentata
CRI,PCHP,,6139,PCHP6139,,Cyclemys oldhamii,NA,adult,,William McCord,,,no data,no data,no data,no data,no data,,,NA,NA,,NA,W. McCord, No data,,,,,Cyclemys oldhamii
CRI,PCHP,,6148,PCHP6148,,Mauremys reevesii,NA,adult,,William McCord,,,,,,,,,,NA,NA,1991,NA,W. McCord 1991,,,,,,Mauremys reevesii
CRI,PCHP,,7607,PCHP7607,,Mauremys reevesii,NA,adult,f,A. Weinberg,,,Asia,China,Jiangsu,,Nanyang,,,NA,NA,2003,NA,"Ad. Female, China: Jiangsu Prov.: Nanjang; Don. A. Weinberg 2003",,,,,,Mauremys reevesii
CRI,PCHP,,4625,PCHP4625,,Mauremys reevesii,NA,adult,,"O. Shiu, W. McCord",,,Asia,China,Nanning,,,,,NA,NA,1996,NA,Ad. China: Nanning, O. Shiu/W. McCord 1996,Carapace and plastron separated,,,,Mauremys reevesii
CRI,PCHP,,12188,PCHP12188,,Mauremys nigricans,NA,adult,f,T. Walsh,,,,,,,,,,NA,NA,2006,NA,Ad female, no data, T. Walsh 2006,Posterior part of the bridge is detatched,,,Mauremys nigricans
CRI,PCHP,,11189,PCHP11189,,Mauremys nigricans,NA,adult,f,William McCord,,,no data,no data,no data,no data,no data,,,NA,NA,2006,NA,Ad female, No data, W. McCord 2006,,,,Mauremys nigricans
CRI,PCHP,,8372,PCHP8372,,Mauremys nigricans,NA,adult,f,William McCord,,,Asia,China,,,,,,NA,NA,2005,NA,Ad female, China: no data, McCord 2005,,,,Mauremys nigricans
CRI,PCHP,,4071,PCHP4071,,Mauremys annamensis,NA,adult,m,William McCord,,,Asia,Vietnam,,,Hanoi,market,,NA,NA,1993,NA,Ad male, Vietnam: Hanoi (mkt). W. McCord 1993,,,,,Mauremys annamensis
